,factor_name,describe,need_days,contributor,calc_type,data_type,from,now_available
0,adj_close,复权收盘价(元),1,market,daily_spider,float,market,1
1,adj_factor,复权因子,1,market,daily_spider,float,market,1
2,adj_high,复权最高价(元),1,market,daily_spider,float,market,1
3,adj_high_52w,52周最高价(复权),1,market,daily_spider,float,market,1
4,adj_low,复权最低价(元),1,market,daily_spider,float,market,1
5,adj_low_52w,52周最低价(复权),1,market,daily_spider,float,market,1
6,adj_open,复权开盘价(元),1,market,daily_spider,float,market,1
7,adj_pre_close,复权昨收盘价(元),1,market,daily_spider,float,market,1
8,alpha101_001,from open article,30,chenjl,daily_tech,float,article,1
9,alpha101_002,from open article,11,chenjl,daily_tech,float,article,1
10,alpha101_003,from open article,12,chenjl,daily_tech,float,article,1
11,alpha101_004,from open article,13,chenjl,daily_tech,float,article,1
12,alpha101_005,from open article,23,chenjl,daily_tech,float,article,1
13,alpha101_006,from open article,13,chenjl,daily_tech,float,article,1
14,alpha101_007,from open article,70,chenjl,daily_tech,float,article,1
15,alpha101_008,from open article,18,chenjl,daily_tech,float,article,1
16,alpha101_009,from open article,9,chenjl,daily_tech,float,article,1
17,alpha101_010,from open article,8,chenjl,daily_tech,float,article,1
18,alpha101_011,from open article,6,chenjl,daily_tech,float,article,1
19,alpha101_012,from open article,4,chenjl,daily_tech,float,article,1
20,alpha101_013,from open article,8,chenjl,daily_tech,float,article,1
21,alpha101_014,from open article,13,chenjl,daily_tech,float,article,1
22,alpha101_015,from open article,9,chenjl,daily_tech,float,article,1
23,alpha101_016,from open article,8,chenjl,daily_tech,float,article,1
24,alpha101_017,from open article,28,chenjl,daily_tech,float,article,1
25,alpha101_018,from open article,13,chenjl,daily_tech,float,article,1
26,alpha101_019,from open article,12,chenjl,daily_tech,float,article,1
27,alpha101_020,from open article,4,chenjl,daily_tech,float,article,1
28,alpha101_021,from open article,26,chenjl,daily_tech,float,article,1
29,alpha101_022,from open article,23,chenjl,daily_tech,float,article,1
30,alpha101_023,from open article,43,chenjl,daily_tech,float,article,1
31,alpha101_024,from open article,203,chenjl,daily_tech,float,article,1
32,alpha101_025,from open article,23,chenjl,daily_tech,float,article,1
