trade_date,ts_code,OPEN,CLOSE,VOLUME
2014-01-02,000300.SH,2323.43,2321.98,45194300.0
2014-01-03,000300.SH,2311.97,2290.78,59782600.0
2014-01-06,000300.SH,2286.37,2238.64,66300400.0
2014-01-07,000300.SH,2222.31,2238.0,43753100.0
2014-01-08,000300.SH,2240.64,2241.91,51348900.0
2014-01-09,000300.SH,2236.97,2222.22,55987000.0
2014-01-10,000300.SH,2216.52,2204.85,54169300.0
2014-01-13,000300.SH,2207.0,2193.68,50122800.0
2014-01-14,000300.SH,2192.84,2212.85,54049900.0
2014-01-15,000300.SH,2210.02,2208.94,48962400.0
2014-01-16,000300.SH,2209.45,2211.84,52298900.0
2014-01-17,000300.SH,2203.82,2178.49,50273200.0
2014-01-20,000300.SH,2173.65,2165.99,40560200.0
2014-01-21,000300.SH,2168.42,2187.41,40306200.0
2014-01-22,000300.SH,2190.43,2243.8,70641400.0
2014-01-23,000300.SH,2242.25,2231.89,56346000.0
2014-01-24,000300.SH,2225.76,2245.68,61167700.0
2014-01-27,000300.SH,2233.01,2215.92,70344200.0
2014-01-28,000300.SH,2220.78,2219.85,53269100.0
2014-01-29,000300.SH,2225.71,2227.78,50222700.0
2014-01-30,000300.SH,2223.16,2202.45,43632300.0
2014-02-07,000300.SH,2187.34,2212.48,50459300.0
2014-02-10,000300.SH,2221.54,2267.53,83065700.0
2014-02-11,000300.SH,2267.74,2285.56,99229800.0
2014-02-12,000300.SH,2286.19,2291.25,76592200.0
2014-02-13,000300.SH,2288.45,2279.55,96217800.0
2014-02-14,000300.SH,2278.4,2295.57,67083000.0
2014-02-17,000300.SH,2308.79,2311.65,87831700.0
2014-02-18,000300.SH,2310.31,2282.44,87049700.0
2014-02-19,000300.SH,2280.93,2308.66,99352600.0
2014-02-20,000300.SH,2314.09,2287.44,106440000.0
2014-02-21,000300.SH,2284.03,2264.29,76369000.0
2014-02-24,000300.SH,2246.72,2214.51,89215900.0
2014-02-25,000300.SH,2216.51,2157.91,93237600.0
2014-02-26,000300.SH,2147.74,2163.41,77993300.0
2014-02-27,000300.SH,2170.81,2154.11,90104300.0
2014-02-28,000300.SH,2149.45,2178.97,76668100.0
2014-03-03,000300.SH,2173.91,2190.37,82072300.0
2014-03-04,000300.SH,2183.86,2184.27,73069200.0
2014-03-05,000300.SH,2187.35,2163.98,61332000.0
2014-03-06,000300.SH,2159.4,2173.63,69093800.0
2014-03-07,000300.SH,2170.04,2168.36,64265200.0
2014-03-10,000300.SH,2149.68,2097.79,71416400.0
2014-03-11,000300.SH,2092.61,2108.66,57621200.0
2014-03-12,000300.SH,2102.8,2114.13,70069700.0
2014-03-13,000300.SH,2119.55,2140.33,69226000.0
2014-03-14,000300.SH,2129.87,2122.84,58617700.0
2014-03-17,000300.SH,2132.79,2143.04,52409400.0
2014-03-18,000300.SH,2146.12,2138.13,55354100.0
2014-03-19,000300.SH,2131.28,2120.87,59303900.0
2014-03-20,000300.SH,2116.19,2086.97,67631300.0
2014-03-21,000300.SH,2079.87,2158.8,104025000.0
2014-03-24,000300.SH,2161.9,2176.55,104492000.0
2014-03-25,000300.SH,2170.78,2174.44,86877500.0
2014-03-26,000300.SH,2181.23,2171.05,58276200.0
2014-03-27,000300.SH,2168.34,2155.71,71275100.0
2014-03-28,000300.SH,2154.51,2151.97,70086100.0
2014-03-31,000300.SH,2156.05,2146.3,55457500.0
2014-04-01,000300.SH,2143.72,2163.11,48866400.0
2014-04-02,000300.SH,2166.07,2180.73,65039300.0
2014-04-03,000300.SH,2188.64,2165.01,71536000.0
2014-04-04,000300.SH,2157.98,2185.47,47945900.0
2014-04-08,000300.SH,2179.92,2237.32,97219100.0
2014-04-09,000300.SH,2239.79,2238.62,66357300.0
